,term,Course_Name,enrolled,total_Seats
1751,Fall 2017,CSC 413 [01 ],38,40
1752,Fall 2017,CSC 413 [02 ],46,45
1753,Fall 2017,CSC 413 [03 ],18,45
1754,Fall 2017,CSC 413 [04 ],30,45
1755,Fall 2017,CSC 415 [01 ],41,50
1756,Fall 2017,CSC 415 [02 ],53,50
1757,Fall 2017,CSC 510 [01 ],38,45
1758,Fall 2017,CSC 510 [02 ],47,60
1759,Fall 2017,CSC 510 [03 ],11,40
1760,Fall 2017,CSC 520 [01 ],59,60
1761,Fall 2017,CSC 600 [01 ],33,40
1762,Fall 2017,CSC 600 [02 ],43,60
1763,Fall 2017,CSC 600 [03 ],43,40
1764,Fall 2017,CSC 641 [01 ],27,30
1765,Fall 2017,CSC 645 [01 ],29,35
1766,Fall 2017,CSC 648 [01 ],35,35
1767,Fall 2017,CSC 648 [02 ],41,35
1768,Fall 2017,CSC 667 [01 ],40,45
1769,Fall 2017,CSC 675 [01 ],46,40
1770,Fall 2017,CSC 675 [02 ],38,40
1771,Fall 2017,CSC 690 [01 ],32,50
1772,Fall 2017,CSC 694 [01 ],0,36
1773,Fall 2017,CSC 699 [01 ],0,15
1774,Fall 2017,CSC 720 [01 ],12,20
1775,Fall 2017,CSC 745 [01 ],7,10
1776,Fall 2017,CSC 775 [01 ],5,10
1777,Fall 2017,CSC 775 [02 ],1,10
1778,Fall 2017,CSC 780 [01 ],13,20
1779,Fall 2017,CSC 810 [01 ],29,40
1780,Fall 2017,CSC 841 [01 ],0,10
1781,Fall 2017,CSC 848 [01 ],3,5
1782,Fall 2017,CSC 848 [02 ],7,10
1783,Fall 2017,CSC 857 [01 ],6,20
1784,Fall 2017,CSC 867 [01 ],12,10
1785,Fall 2017,CSC 872 [01 ],19,20
1786,Fall 2017,CSC 877 [01 ],8,20
1787,Fall 2017,CSC 890 [01 ],13,20
1788,Fall 2017,CSC 893 [01 ],0,10
1789,Fall 2017,CSC 895 [01 ],0,0
1790,Fall 2017,CSC 897 [01 ],0,24
